#{"gym_version": "0.9.3", "env_id": "HalfCheetah-v1", "t_start": 1516589360.9635682}
r,l,t
-127.114876,1000,8.767158
-339.286232,1000,16.667777
-512.373016,1000,24.676329
-112.008254,1000,32.0739
-428.645616,1000,39.794666
-85.108349,1000,46.783389
-261.163076,1000,54.18893
1.293287,1000,61.273465
330.058712,1000,69.147862
418.658007,1000,76.311726
-99.858944,1000,83.530169
-135.758149,1000,90.965128
-396.550478,1000,98.0019
-451.607036,1000,105.61367
-479.880145,1000,112.705173
-429.971301,1000,119.680037
-528.25884,1000,126.764888
340.612399,1000,134.561288
361.418924,1000,142.084064
-389.618929,1000,149.852126
488.464045,1000,157.180326
335.700782,1000,164.227786
-970.63388,1000,173.11524
323.211486,1000,180.788935
-918.561033,1000,190.73594
-106.191801,1000,198.074164
-257.557145,1000,205.241992
167.221028,1000,212.253395
-585.656503,1000,219.467765
580.990316,1000,226.766054
460.068944,1000,234.002622
345.439986,1000,241.119403
519.878476,1000,248.437333
901.629716,1000,255.391292
126.22926,1000,262.66887
653.697439,1000,270.254489
-75.310357,1000,277.344294
1122.565719,1000,284.553129
839.463802,1000,291.720905
827.98684,1000,298.719323
1204.242761,1000,306.095826
124.839144,1000,313.506918
1116.278236,1000,320.612131
572.015387,1000,327.53944
679.260541,1000,334.529748
606.946963,1000,342.504564
905.421976,1000,349.663982
-394.256816,1000,356.634698
705.211459,1000,363.84523
-452.086954,1000,370.811798
634.919079,1000,378.956631
-501.942558,1000,385.926103
-213.695152,1000,392.931794
785.641466,1000,400.323767
1429.587279,1000,408.399989
-523.851062,1000,415.436448
1268.952611,1000,422.514002
-426.593068,1000,429.52832
1032.841861,1000,437.659814
972.238551,1000,444.847447
928.419736,1000,451.910091
1034.842992,1000,459.094181
1368.914975,1000,466.785518
1110.171809,1000,474.44144
1108.523262,1000,482.340776
1161.751618,1000,490.309584
1124.479269,1000,497.651999
1020.417606,1000,504.632236
673.185777,1000,513.084332
829.328676,1000,520.422904
792.763529,1000,527.825898
1051.449089,1000,535.221361
1068.968657,1000,542.919606
1351.071007,1000,550.664282
1500.436679,1000,559.051253
1285.716074,1000,565.996141
1102.963733,1000,573.347619
1361.101966,1000,580.899827
1490.415239,1000,588.613465
1176.468514,1000,595.546818
1410.374004,1000,602.846341
1415.201414,1000,611.399446
1348.847218,1000,619.565675
721.866924,1000,627.013428
1453.764806,1000,634.622141
1157.184953,1000,641.965865
1092.14517,1000,650.558523
1052.252519,1000,658.288047
989.711386,1000,665.636536
915.028571,1000,672.872031
1015.701578,1000,680.194026
826.810709,1000,687.849007
1550.628089,1000,695.683727
1713.289163,1000,703.43564
333.174932,1000,710.676804
1132.356041,1000,718.360865
894.722906,1000,726.322863
1453.288095,1000,733.593019
1497.316146,1000,741.694561
1368.236096,1000,749.173692
1579.728196,1000,758.358294
568.194864,1000,766.494846
1616.758225,1000,773.918153
1334.375415,1000,780.985778
1676.060241,1000,788.091884
1939.780213,1000,795.010538
1483.766759,1000,803.122729
1829.317814,1000,810.989154
1600.149929,1000,818.06829
1023.988287,1000,825.137767
1665.217762,1000,832.961898
1517.607086,1000,840.040038
1453.240578,1000,848.036366
1287.910908,1000,855.048683
1838.722923,1000,863.496425
1846.777711,1000,871.005359
1620.619029,1000,878.198975
1587.508916,1000,885.702274
1752.398615,1000,893.31554
2023.610866,1000,901.162288
1650.619048,1000,909.633252
1575.955302,1000,917.128357
1652.893945,1000,925.319232
1812.91505,1000,932.973439
-291.209879,1000,940.810501
-492.582705,1000,948.234486
-496.666682,1000,956.287428
1440.885614,1000,963.396343
1457.282423,1000,971.484856
1604.148816,1000,978.742007
1577.417088,1000,987.553423
1693.330267,1000,995.062672
1283.25664,1000,1002.34793
1540.281891,1000,1009.385101
1676.173151,1000,1016.787838
701.885411,1000,1023.751551
1507.153506,1000,1031.66599
1269.565188,1000,1039.129791
1545.979867,1000,1046.768137
1354.128421,1000,1053.749995
1508.626336,1000,1061.388882
1401.927154,1000,1069.243289
2079.357878,1000,1077.116505
1285.607984,1000,1084.519235
-15.64548,1000,1093.357341
399.212392,1000,1100.615745
1625.778713,1000,1108.020965
1922.304539,1000,1115.484828
-498.36089,1000,1123.000628
1777.781429,1000,1129.992745
1592.219419,1000,1137.572105
1747.475611,1000,1145.553397
1313.563379,1000,1154.224415
1885.908644,1000,1162.247527
1592.082173,1000,1171.081705
1971.283777,1000,1178.514267
1640.6579,1000,1186.903869
-487.032596,1000,1195.223531
1892.58658,1000,1203.472913
-503.06102,1000,1210.447777
1614.947451,1000,1217.620492
1160.29332,1000,1224.553756
1686.47144,1000,1232.032413
1849.424837,1000,1238.995406
2081.149578,1000,1246.163656
1979.264572,1000,1253.685024
1402.266133,1000,1261.523593
1575.143896,1000,1268.607895
1727.81601,1000,1275.793999
2110.182721,1000,1282.843343
2218.247416,1000,1292.260019
-418.018126,1000,1299.521757
1610.902722,1000,1306.735242
1677.736669,1000,1315.148825
1533.135557,1000,1323.337166
1766.668834,1000,1330.660514
1537.204821,1000,1337.902962
1784.39336,1000,1346.17703
1816.92215,1000,1354.414494
2148.734064,1000,1362.11985
1826.320022,1000,1369.285609
1839.049924,1000,1376.452655
-454.052624,1000,1383.783365
789.124268,1000,1390.709644
1789.480328,1000,1397.885342
1753.21775,1000,1404.830735
1963.14923,1000,1412.124469
2048.188389,1000,1419.795843
2227.035599,1000,1427.196608
-305.037131,1000,1434.654629
1791.569598,1000,1442.889646
1809.415568,1000,1450.557515
1616.643004,1000,1457.919598
1794.047084,1000,1466.08993
2009.557394,1000,1473.427857
1862.883879,1000,1480.405816
2201.151937,1000,1488.103108
1935.733992,1000,1495.227184
1655.618683,1000,1502.697273
1534.881546,1000,1509.679174
1937.678663,1000,1516.961952
1766.242934,1000,1524.04887
1326.370094,1000,1531.660216
-405.449914,1000,1538.857004
1729.396662,1000,1546.091181
2090.217866,1000,1553.100179
1779.380469,1000,1560.449752
1939.079442,1000,1568.050414
1110.650445,1000,1575.317729
1801.973527,1000,1582.280102
79.976388,1000,1590.52029
2077.984459,1000,1597.771626
1537.461173,1000,1605.432544
1617.459471,1000,1613.509127
1759.265062,1000,1621.100804
-185.990856,1000,1628.130835
2426.705853,1000,1636.215951
-454.227517,1000,1643.897474
1715.359786,1000,1652.668785
2413.177461,1000,1659.961033
1609.033786,1000,1667.829603
-303.137404,1000,1675.824362
-537.038791,1000,1684.909763
1813.460847,1000,1692.164469
2185.317093,1000,1700.177994
-530.386397,1000,1707.992265
1699.926964,1000,1717.013069
1750.841509,1000,1725.331366
2147.099237,1000,1733.419603
1645.440849,1000,1741.687966
1060.221611,1000,1750.301211
1877.191003,1000,1758.808818
2256.463445,1000,1766.582604
2002.433735,1000,1773.546016
2108.938283,1000,1781.795401
1980.645287,1000,1790.227661
2273.260256,1000,1798.719434
2228.979328,1000,1805.649541
2085.752602,1000,1813.092904
1942.833071,1000,1820.597312
-125.757185,1000,1827.890999
2382.283229,1000,1835.111898
1908.104043,1000,1843.542772
-485.874746,1000,1850.679636
-520.393472,1000,1858.213384
818.252342,1000,1865.328299
2413.255805,1000,1872.833489
1789.338496,1000,1880.479121
2286.161461,1000,1888.255793
-537.579349,1000,1896.012524
2348.268315,1000,1904.389266
2441.164972,1000,1912.052072
1788.78174,1000,1919.94958
1681.371935,1000,1926.865116
1835.772465,1000,1936.095082
619.256221,1000,1943.041265
904.913874,1000,1950.678443
1983.563269,1000,1957.629388
1858.902583,1000,1965.430709
-552.013642,1000,1972.683942
-414.752724,1000,1980.192324
-428.872674,1000,1987.775792
2162.556217,1000,1995.848532
1637.954841,1000,2003.345495
2011.64111,1000,2011.217325
2026.555679,1000,2018.205717
2425.523478,1000,2025.624214
2205.031068,1000,2032.438226
2509.888062,1000,2039.997204
1814.979298,1000,2048.487672
1491.054034,1000,2056.684323
2497.050091,1000,2065.354116
148.95767,1000,2074.477797
1306.360048,1000,2082.555978
1495.194336,1000,2089.849483
2673.094804,1000,2096.661435
2036.244177,1000,2103.887598
2169.556323,1000,2111.876893
-506.491788,1000,2120.583579
73.238552,1000,2128.119787
1463.139759,1000,2135.503589
1611.007694,1000,2142.921779
2125.808962,1000,2152.106183
1455.270442,1000,2160.614326
1309.320637,1000,2168.585384
992.866047,1000,2175.399588
300.900179,1000,2182.739799
2089.463634,1000,2189.574281
1983.439316,1000,2197.019506
2105.241661,1000,2204.085167
1804.306288,1000,2212.074774
1713.172896,1000,2219.366722
1975.181161,1000,2228.195426
2077.657501,1000,2236.252296
1800.090965,1000,2245.082638
2225.968714,1000,2253.127923
2138.49737,1000,2262.087433
2238.061323,1000,2270.110657
2250.49475,1000,2278.3174
2345.760734,1000,2285.576213
2056.332958,1000,2294.779586
2457.044274,1000,2303.222806
2624.07446,1000,2311.542587
2162.277442,1000,2320.033324
-241.211056,1000,2328.790499
-21.790127,1000,2337.36092
141.16628,1000,2347.010041
1977.317638,1000,2354.178058
1968.347291,1000,2362.908086
2182.076754,1000,2369.730799
1919.767103,1000,2378.79899
1778.312179,1000,2386.261327
2308.13694,1000,2393.487787
2047.923336,1000,2400.506373
2465.139567,1000,2409.266297
2021.760544,1000,2417.12924
2454.670841,1000,2426.199752
2053.056283,1000,2433.111805
2460.34177,1000,2441.868674
2397.847791,1000,2450.365853
2358.643205,1000,2458.012028
2630.61317,1000,2464.86929
2485.771178,1000,2472.800812
1974.914603,1000,2479.709382
2489.617084,1000,2486.995297
1766.760278,1000,2494.224119
2166.817681,1000,2502.77144
2751.113135,1000,2509.622154
2452.948022,1000,2517.705869
140.059891,1000,2525.983948
1212.719678,1000,2534.402709
2563.886034,1000,2541.807489
2520.929217,1000,2550.848065
2083.739503,1000,2559.565669
1236.868813,1000,2568.468853
2509.151481,1000,2576.928101
1054.677999,1000,2584.636722
2333.65355,1000,2591.667877
2464.679681,1000,2600.322205
2576.58452,1000,2608.575351
2552.955259,1000,2617.570886
2647.074002,1000,2625.215536
2087.000461,1000,2633.688056
2077.199119,1000,2642.23018
2183.655228,1000,2650.91979
-382.220361,1000,2659.479997
1558.618322,1000,2668.545686
2661.260884,1000,2675.563565
2522.534488,1000,2683.335755
2824.173807,1000,2691.925598
2329.344844,1000,2700.372036
2404.555728,1000,2707.615899
-367.613608,1000,2714.907222
1941.19151,1000,2721.732508
2323.847633,1000,2730.472777
1784.698603,1000,2737.988526
2210.279433,1000,2745.299091
2258.151872,1000,2752.166703
1373.290748,1000,2760.386366
1621.800215,1000,2768.777875
2436.076844,1000,2776.654554
2903.992113,1000,2784.681145
2932.26857,1000,2793.971103
2191.931301,1000,2801.479506
2617.395384,1000,2808.814015
2925.358783,1000,2816.014613
1959.145452,1000,2825.300204
2137.164255,1000,2833.409315
1488.26947,1000,2841.551034
2211.944604,1000,2850.117973
2801.810326,1000,2859.149077
2443.078613,1000,2866.958918
2264.896881,1000,2876.432513
2743.513944,1000,2884.566283
2852.614152,1000,2892.004485
2365.175921,1000,2899.309843
2554.480621,1000,2907.58389
2128.532531,1000,2914.433977
2842.751034,1000,2922.78527
2578.041058,1000,2930.545114
2735.919297,1000,2937.892696
2373.577238,1000,2944.799599
2409.810404,1000,2953.908196
1546.360292,1000,2961.90157
-186.612255,1000,2970.860515
2717.685604,1000,2978.488723
2548.408241,1000,2987.61431
2173.761931,1000,2995.404661
2289.939563,1000,3004.267552
2591.383515,1000,3011.768801
2887.260688,1000,3020.798052
2611.64907,1000,3027.697303
2893.571049,1000,3036.097863
2776.340671,1000,3043.632723
2525.590765,1000,3051.479671
2590.633384,1000,3058.469098
1512.289296,1000,3065.853752
1795.981333,1000,3072.919436
2422.328075,1000,3082.733151
2722.451749,1000,3091.751133
2417.257392,1000,3100.26286
2867.271678,1000,3107.922549
2413.708379,1000,49933.347903
